number,title,genre,plot,Running time,Box office,imdb
37,Emil and the Detectives,"Comedy, Family, Drama, Crime",Emil goes to Berlin to see his grandmother with a large amount of money and is offered sweets by a strange man that make him sleep. He wakes up at his stop with no money. It is up to him and a group of children to save the day.,92,1275000,6
38,Those Calloways,"Drama, Family","Story of Cam Calloway and his family, who live in a densely wooded area in New England. Cam dreams of building a sanctuary for the geese that fly over the area each year, and he tries ...",131,3500000,6.7
39,That Darn Cat!,"Comedy, Crime, Family, Thriller","After a kidnapped bank teller uses a neighbor's wandering cat to send an S.O.S., the F.B.I. assigns a cat-allergic Agent to the case.",116,28068222,6.8
40,The Ugly Dachshund,"Comedy, Family",The Garrisons live with a Great Dane who thinks he's a dainty dachshund. His identity crisis results in an uproarious series of household crises that reduce the Garrisons' house to shambles.,93,6200000,6.7
41,The Adventures of Bullwhip Griffin,"Action, Adventure, Comedy, Family, Romance, Western","A young man from Boston heads west to join the California gold rush with the hopes of restoring his family fortune, but his dedicated butler sets out to find him and bring him home.",108,1900000,6.5
42,The Jungle Book,"Animation, Adventure, Family, Musical",Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.,78,378000000,7.4
43,Blackbeard's Ghost,"Comedy, Family, Fantasy","On the Carolina coast, Godolphin College's new track coach lodges at Blackbeard's Inn, run by the Daughters of the Buccaneers, who claim to be descendants of the notorious pirate, and who risk losing their hotel to the local mobster.",106,21540050,6.9
44,The Love Bug,"Comedy, Family, Sport",A race car driver becomes a champion with a Volkswagen Beetle with a mind of its own.,108,51264000,6.5
45,The Computer Wore Tennis Shoes,"Comedy, Family, SciFi","At Medfield College, an accident with a donated computer gives Dexter Riley the ability to remember any knowledge learned instantly and perfectly.",91,5500000,6.1
46,The Aristocats,"Animation, Adventure, Comedy, Family, Musical","With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country.",79,191000000,7.1
47,The Million Dollar Duck,"Comedy, Family, SciFi","Professor Dooley takes home a duck from his research laboratory as a pet for his son, but soon finds out that it lays golden eggs.",89,5100000,5.9
48,Bedknobs and Broomsticks,"Animation, Adventure, Comedy, Family, Fantasy, Musical","An apprentice witch, three kids and a cynical magician conman search for the missing component to a magic spell to be used in the defense of Britain in World War II.",118,17900000,7.1
49,Snowball Express,"Comedy, Family","When John Baxter inherits a ski resort in the Rocky Mountains, he quits his job in New York and moves the family west to run it. Only to find that the place is a wreck. But together they ...",93,6100000,6.5
50,Robin Hood,"Animation, Adventure, Comedy, Family, Romance",The story of the legendary outlaw is portrayed with the characters as humanoid animals.,83,32000000,6.6
